id,name
112720,C
57108,U
16450,S
101776,J
76944,M
231170,J
1669952,A
107094,D
38832,T
76215,A
139549,R
884406,S
1206337,H
18626,A
103962,P
2056223,D
1365715,M
54754,V
54693,E
19492,V
91332,D
78805,L
21369,G
93527,K
17554,D
1050833,L
74042,A
1110895,C
1016909,R
100507,C
11161,T
1563704,B
1563705,R
29539,S
96179,D
862,G
3088,S
35321,R
27932,L
3612,G
1189209,W
1313109,R
44547,A
11916,L
47068,J
225636,H
7569,H
8742,I
67521,K
6657,B
20810,J
53441,A
20510,R
1230989,M
3201,P
59373,M
6091,A
582884,M
24816,P
37175,E
47879,J
104895,J
59846,J
107437,B
231241,U
1332680,U
8654,M
1133658,W
1028353,J
9572,M
51546,J
90170,A
29791,L
7668,H
83779,T
520,S
3461,J
203093,T
378,J
32327,K
383,M
87295,R
57342,V
77120,S
1216310,D
151042,P
1076796,S
1197005,R
81978,K
1197766,S
1195521,S
565433,S
238346,A
1082302,D
906496,R
543544,A
543521,J
567257,P
65236,B
2615993,W
1195465,S
565430,P
237737,N
1155613,M
1155614,J
1197745,D
237600,F
1206981,G
1155271,B
89023,R
1039215,B
102210,S
569165,R
1207045,O
1216782,P
1463963,P
1064416,R
25504,A
1108859,S
1155272,R
1085699,T
151245,B
90802,J
67773,S
1249429,C
1234635,N
36802,E
148115,B
5823,J
6837,W
2178,F
57829,A
12462,R
240161,M
25246,A
83358,M
239008,F
1082975,E
67689,A
26744,G
990443,N
83624,D
1620,M
65992,M
64154,S
11617,M
158324,A
2076,D
1066609,T
1885331,K
8212,P
2179,S
11885,J
93498,T
1235516,T
1442,J
150992,A
150993,P
3186,T
116771,M
94814,S
11462,E
11465,T
27725,J
1910214,G
1037312,J
32377,E
9762,J
1142230,J
1142232,S
140503,T
1694889,P
88059,T
84206,K
119598,P
8656,D
58264,D
29369,M
2288250,L
2110741,J
2234,M
1217934,B
1223194,S
163361,R
1214976,N
111270,W
12513,F
1231850,S
15425,N
1088689,D
1017169,G
1253615,P
70274,C
1242716,R
134877,S
1156206,R
1435,S
25129,D
69921,P
230253,M
1347896,J
1214261,D
1877583,J
151436,J
564046,T
164116,S
1404518,C
34947,K
1393177,N
1487247,K
1252035,T
2474025,R
