origin_city,destination_city,average_time
"BWI Airport, MD","Rdu Airport, NC",62.77
"BWI Airport, MD","Rochester, NY",68.64
"BWI Airport, MD","Saint Louis, MO",71.63
"BWI Airport, MD","Salt Lake City, UT",163.11
"BWI Airport, MD","San Antonio, TX",162.61
"BWI Airport, MD","San Diego, CA",158.37
"BWI Airport, MD","San Francisco, CA",187.54
"BWI Airport, MD","San Juan, PR",254.6
"BWI Airport, MD","Sarasota, FL",149.72
"BWI Airport, MD","Seattle, WA",158.97
"BWI Airport, MD","South Burlington, VT",82.3
"BWI Airport, MD","Tampa, FL",143.5
"BWI Airport, MD","West Palm Beach, FL",143.53
"BWI Airport, MD","Windsor Locks, CT",64.48
"Bakersfield, CA","Denver, CO",194.78
"Bakersfield, CA","Las Vegas, NV",64.9
"Bakersfield, CA","Los Angeles, CA",51.72
"Bakersfield, CA","Phoenix, AZ",108.04
"Bakersfield, CA","Sacramento, CA",67.8
"Bakersfield, CA","Salt Lake City, UT",164.52
"Bakersfield, CA","San Diego, CA",54.0
"Bakersfield, CA","San Francisco, CA",76.86
"Bangor, ME","Atlanta, GA",183.71
"Bangor, ME","Boston, MA",75.47
"Bangor, ME","Cincinnati, OH",166.93
"Bangor, ME","Detroit, MI",151.27
"Bangor, ME","Minneapolis, MN",136.5
"Bangor, ME","New York, NY",103.0
"Bangor, ME","Newark, NJ",122.75
"Bangor, ME","South Burlington, VT",58.0
"Barrow, AK","Anchorage, AK",110.13
"Barrow, AK","Fairbanks, AK",78.51
"Baton Rouge, LA","Atlanta, GA",151.51
"Baton Rouge, LA","Chicago, IL",154.45
"Baton Rouge, LA","Dallas, TX",88.87
"Baton Rouge, LA","Denver, CO",106.0
"Baton Rouge, LA","Houston, TX",74.97
"Baton Rouge, LA","Memphis, TN",79.15
"Baton Rouge, LA","Washington, DC",203.45
"Beaumont / Port Arthur, TX","Houston, TX",38.85
"Bellingham, WA","Salt Lake City, UT",183.5
"Bemidji, MN","Minneapolis, MN",75.0
"Bethel, AK","Anchorage, AK",66.68
"Billings, MT","Chicago, IL",226.06
"Billings, MT","Denver, CO",85.34
"Billings, MT","Minneapolis, MN",178.0
"Billings, MT","Salt Lake City, UT",80.39
